Country Group,Item Code (CPC),average yield Value,average producer price Value
High-income economies,0111,5010.718604651162,398.3225
High-income economies,0112,8541.89534883721,555.3896551724138
High-income economies,0113,5481.89,672.4214285714286
High-income economies,0114,7057.466666666666,266.0
High-income economies,0115,5030.769047619047,345.6111111111111
High-income economies,0116,3740.416129032258,288.6727272727273
High-income economies,0117,3490.161111111111,292.146875
High-income economies,0118,1499.5,712.3
High-income economies,01191,4254.734482758621,299.18888888888887
High-income economies,01192,868.625,1069.8166666666666
High-income economies,01195,1044.7,767.3000000000001
High-income economies,01199.02,3495.5833333333335,326.35
High-income economies,01199.90,3365.5153846153844,384.6
High-income economies,01211,4712.442857142857,4881.942857142857
High-income economies,01212,29058.97454545455,680.51
High-income economies,01213,15654.957777777778,1137.9029411764704
High-income economies,01214,22478.057999999997,1814.7571428571428
High-income economies,01215,13328.339473684211,1672.038888888889
High-income economies,01216,9923.277777777777,1815.5777777777778
High-income economies,01221,28663.5,668.3809523809524
High-income economies,01229,21919.457575757577,1050.085
High-income economies,01231,59508.045454545456,2074.54
High-income economies,01232,116664.125,1217.221052631579
High-income economies,01233,63832.28125,1289.0222222222224
High-income economies,01234,123140.0625,1693.45
High-income economies,01235,21817.884,891.9272727272728
High-income economies,01239.01,10727.028571428571,2600.4375
High-income economies,01241.01,7814.76,3714.9666666666667
High-income economies,01241.90,8462.958333333334,2146.4700000000003
High-income economies,01242,5509.702857142857,2057.6555555555556
High-income economies,01243,7116.066666666667,1757.2142857142858
High-income economies,01251,40132.882000000005,748.8425
High-income economies,01252,8699.83548387097,3903.189473684211
High-income economies,01253.01,18311.90625,1405.1
High-income economies,01253.02,32316.55,604.7878787878788
High-income economies,01254,25488.86,1267.942105263158
High-income economies,01290.01,9573.690476190477,1942.4875
High-income economies,01290.90,16928.54375,1537.5090909090907
High-income economies,01311,9220.370588235293,2817.4875
High-income economies,01312,23324.530434782606,1219.4818181818182
High-income economies,01314,13003.125,2949.7333333333336
High-income economies,01315,6856.9,2526.5555555555557
High-income economies,01316,12773.033333333333,5767.2
High-income economies,01317,21720.735714285714,1274.45
High-income economies,01318,26224.05,2350.7374999999997
High-income economies,01319,8348.711764705882,911.6
High-income economies,01321,24729.95882352941,753.6999999999999
High-income economies,01322,16978.975,1324.875
High-income economies,01323,16889.508333333335,736.31875
High-income economies,01324,19079.377777777776,973.0200000000001
High-income economies,01329,12457.342857142856,1606.5333333333335
High-income economies,01330,9425.10294117647,1627.7190476190476
High-income economies,01341,25035.310526315792,863.1138888888889
High-income economies,01342.01,19867.33611111111,1119.4366666666667
High-income economies,01342.02,22195.766666666666,1363.85
High-income economies,01343,7195.604347826086,2035.1950000000002
High-income economies,01344.01,9893.895454545454,1800.675
High-income economies,01344.02,6580.727586206896,3953.42
High-income economies,01345,11664.026923076923,1716.6809523809525
High-income economies,01346,9931.091666666667,1628.5
High-income economies,01349.20,6184.1,1437.85
High-income economies,01351.01,4419.989655172414,3007.3142857142857
High-income economies,01351.02,7715.599999999999,4352.780000000001
High-income economies,01352,17631.65,1847.03
High-income economies,01353.01,7434.393333333334,7616.49375
High-income economies,01354,20163.555263157894,3960.159375
High-income economies,01355.01,4825.4384615384615,5410.757142857144
High-income economies,01355.02,26936.3,1706.8666666666668
High-income economies,01355.90,5018.611538461539,8339.1
High-income economies,01356,265.2,1138.325
High-income economies,01359.01,14380.800000000001,1331.2
High-income economies,01359.90,13613.418181818182,2983.56
High-income economies,01371,3648.64375,3095.3142857142857
High-income economies,01373,2014.3692307692306,3473.9200000000005
High-income economies,01374,1140.75,2680.9857142857145
High-income economies,01375,1672.6000000000001,7123.099999999999
High-income economies,01376,3745.890909090909,3084.725
High-income economies,01379.90,5818.881818181819,5926.1
High-income economies,0141,2082.9320000000002,613.88
High-income economies,0142,3041.9,1993.1000000000001
High-income economies,01441,1416.4363636363635,934.5375
High-income economies,01442,680.4000000000001,1081.9
High-income economies,01443,2896.2085714285713,683.06
High-income economies,01444,1045.28,2927.6
High-income economies,01445,2084.304347826087,675.1933333333333
High-income economies,01446,923.0,579.3333333333334
High-income economies,01449.90,1241.7454545454545,3724.8
High-income economies,01450,4260.24,1132.0222222222224
High-income economies,01460,6084.55,1081.7333333333333
High-income economies,01510,28416.561224489797,469.152380952381
High-income economies,01520.01,12876.416666666666,1248.12
High-income economies,01530,12929.254545454545,1574.52
High-income economies,01540,8160.666666666667,2510.057142857143
High-income economies,01550,8584.28,2149.0
High-income economies,01599.10,10787.533333333335,695.6999999999999
High-income economies,01610,489.27142857142854,27458.5
High-income economies,01620,2742.2000000000003,12319.6
High-income economies,01651,23698.36666666667,35987.8
High-income economies,01654,1018.25,2443.9
High-income economies,01655,72.3,15083.9
High-income economies,01657,19365.8875,2799.1
High-income economies,01659,1846.4533333333334,7861.236363636364
High-income economies,01691,13942.050000000001,434.275
High-income economies,01701,4201.883333333334,1849.2125
High-income economies,01702,2636.720689655172,1054.1
High-income economies,01703,1711.5,1322.6
High-income economies,01704,1257.75,1233.1875
High-income economies,01705,2448.3714285714286,580.2222222222222
High-income economies,01706,4249.433333333333,2136.75
High-income economies,01707,2520.875,2467.1
High-income economies,01709.01,212.6,456.3
High-income economies,01709.02,1505.76875,456.34999999999997
High-income economies,01709.90,1912.732142857143,4223.433333333333
High-income economies,01801,67403.0,47.835
High-income economies,01802,55105.23333333334,124.13333333333333
High-income economies,01921.01,2292.133333333333,802.2
High-income economies,01929.02,3890.0066666666667,659.0
High-income economies,01930.01,16230.0,973.1
High-income economies,01970,2884.668181818182,5556.346153846154
High-income economies,02211,62659.637931034486,692.8476190476191
High-income economies,02291,1418.7142857142858,1321.3600000000001
High-income economies,02292,2410.896551724138,1322.4066666666665
High-income economies,02293,4487.333333333333,4945.1
High-income economies,0231,61158.2808988764,2664.6384615384613
High-income economies,0232,26619.0,3277.75
High-income economies,21111.01,2647.1639344262294,5978.277272727273
High-income economies,21112,2127.6666666666665,11650.6
High-income economies,21113.01,823.5636363636364,2285.69
High-income economies,21114,15800.625,8758.65
High-income economies,21115,189.1578947368421,6340.794444444445
High-income economies,21116,148.71153846153845,6365.327272727273
High-income economies,21117.01,1995.142857142857,11771.7
High-income economies,21118.01,2561.6923076923076,1869.75
High-income economies,21121,15446.736842105263,2644.038888888889
High-income economies,21122,22092.53846153846,5725.6
High-income economies,21123,40827.125,13339.75
High-income economies,21124,90303.3448275862,2420.52
High-income economies,21170.01,1350.0,5185.2
Low income economies,0111,1988.6947368421052,854.3
Low income economies,0112,1762.3296296296296,488.3
Low income economies,0113,2335.768,777.86
Low income economies,0114,952.7346153846154,537.4100000000001
Low income economies,0115,2054.15,862.4
Low income economies,0118,920.148,516.9125
Low income economies,01193,749.6142857142858,1481.0999999999997
Low income economies,01199.90,827.9000000000001,1139.9
Low income economies,01212,17572.441666666666,277.85
Low income economies,01214,14676.0,354.95
Low income economies,01221,17043.88888888889,722.6500000000001
Low income economies,01229,16557.155555555553,865.7
Low income economies,01231,6726.175,1242.1000000000001
Low income economies,01232,14003.34,778.5
Low income economies,01233,13908.78888888889,551.7
Low income economies,01234,14157.226315789472,847.8833333333333
Low income economies,01235,13497.536363636364,406.65
Low income economies,01239.01,6426.614285714286,1075.9499999999998
Low income economies,01241.90,6485.990909090909,1372.85
Low income economies,01242,4026.9666666666667,827.2
Low income economies,01251,13045.65,722.1999999999999
Low income economies,01252,9704.7,545.1
Low income economies,01253.01,12214.949999999999,595.2666666666667
Low income economies,01253.02,13399.905882352941,997.525
Low income economies,01290.90,7499.707142857143,205.2
Low income economies,01311,7912.816666666667,770.1
Low income economies,01312,12687.326315789474,600.6999999999999
Low income economies,01314,6005.742857142858,1103.2
Low income economies,01316,9477.3,849.6833333333334
Low income economies,01317,15320.35,934.6
Low income economies,01318,8642.446666666667,375.85
Low income economies,01322,7351.771428571429,1410.2
Low income economies,01323,8617.831578947367,1111.3
Low income economies,01330,6472.8,1715.4
Low income economies,01359.90,6549.284000000001,368.7
Low income economies,01372,1225.8777777777777,573.7
Low income economies,0141,1054.125,723.55
Low income economies,0142,1034.35,765.4375
Low income economies,01444,717.4285714285714,1016.525
Low income economies,01449.90,1045.23,267.7
Low income economies,01499.01,2693.1,320.6
Low income economies,01510,12780.271428571428,758.8285714285714
Low income economies,01520.01,11294.619047619048,309.0857142857143
Low income economies,01530,10542.459090909091,308.7857142857143
Low income economies,01540,8955.561538461538,814.05
Low income economies,01550,6883.50909090909,654.0
Low income economies,01610,804.7533333333333,921.0
Low income economies,01640,511.08750000000003,997.1500000000001
Low income economies,01652,2326.735714285714,3890.7
Low income economies,01701,1562.73,1180.675
Low income economies,01702,2022.3166666666666,1088.1
Low income economies,01705,1331.925,3178.1
Low income economies,01706,936.2928571428572,989.2
Low income economies,01708,740.0166666666668,295.0
Low income economies,01709.90,862.6285714285715,237.3
Low income economies,01801,21878.7,965.1
Low income economies,01802,55787.3,352.23333333333335
Low income economies,01921.01,1029.5478260869565,408.8
Low income economies,01970,1323.095238095238,495.4
Low income economies,02211,6715.071428571428,718.4333333333334
Low income economies,02291,417.88235294117646,183.6
Low income economies,02292,638.6111111111111,248.2
Low income economies,02293,3050.8,670.1
Low income economies,0231,23421.333333333332,3014.06
Low income economies,21111.01,1364.0357142857142,6309.0
Low income economies,21115,160.57142857142858,7054.9
Low income economies,21116,132.67857142857142,7054.9
Low income economies,21121,12158.107142857143,2950.6
Lower-middle-income economies,0111,2438.0137931034483,352.42857142857144
Lower-middle-income economies,0112,3465.914583333333,370.06363636363636
Lower-middle-income economies,0113,3890.953488372093,533.485
Lower-middle-income economies,0114,1911.2055555555557,451.53000000000003
Lower-middle-income economies,0115,1957.3478260869565,329.51
Lower-middle-income economies,0116,2863.3500000000004,190.3
Lower-middle-income economies,0117,1335.3785714285714,231.575
Lower-middle-income economies,0118,1256.7384615384615,692.0916666666667
Lower-middle-income economies,01191,2253.325,177.2
Lower-middle-income economies,01192,1079.5833333333333,736.0
Lower-middle-income economies,01193,843.25,382.20000000000005
Lower-middle-income economies,01199.90,1266.9083333333333,356.8
Lower-middle-income economies,01211,8291.699999999999,988.0
Lower-middle-income economies,01212,24235.197368421053,512.8368421052631
Lower-middle-income economies,01213,16468.550000000003,750.7142857142857
Lower-middle-income economies,01214,15565.408695652175,1117.9166666666667
Lower-middle-income economies,01215,11572.761538461538,393.52
Lower-middle-income economies,01216,16443.622222222224,453.6
Lower-middle-income economies,01221,27593.143333333333,427.06666666666666
Lower-middle-income economies,01229,19561.645454545454,347.57142857142856
Lower-middle-income economies,01231,17456.16875,1347.9846153846154
Lower-middle-income economies,01232,20808.271875,677.425
Lower-middle-income economies,01233,17984.676,478.76363636363635
Lower-middle-income economies,01234,27580.438095238093,624.8318181818181
Lower-middle-income economies,01235,16956.796153846153,726.2111111111111
Lower-middle-income economies,01239.01,8806.45,1435.95
Lower-middle-income economies,01241.01,11581.35,555.2666666666667
Lower-middle-income economies,01241.90,7469.29375,1413.8714285714286
Lower-middle-income economies,01242,6002.788888888888,834.2666666666667
Lower-middle-income economies,01243,7995.753846153846,528.25
Lower-middle-income economies,01251,22073.628125,604.75
Lower-middle-income economies,01252,10816.666666666666,1667.2142857142858
Lower-middle-income economies,01253.01,17356.641666666666,1076.45
Lower-middle-income economies,01253.02,19753.408108108106,624.1636363636363
Lower-middle-income economies,01254,13117.654545454547,523.2666666666667
Lower-middle-income economies,01290.01,6977.163636363636,396.73333333333335
Lower-middle-income economies,01290.90,13686.5679245283,844.9399999999999
Lower-middle-income economies,01311,11625.08,970.157142857143
Lower-middle-income economies,01312,22100.853488372093,589.2444444444444
Lower-middle-income economies,01314,5691.584615384616,1309.48
Lower-middle-income economies,01315,5795.9769230769225,799.98
Lower-middle-income economies,01316,10708.237837837838,787.2071428571428
Lower-middle-income economies,01317,19201.8625,445.21666666666664
Lower-middle-income economies,01318,27569.116666666665,579.625
Lower-middle-income economies,01321,13809.665217391304,483.88
Lower-middle-income economies,01322,12349.983333333334,929.475
Lower-middle-income economies,01323,17637.630555555555,550.0923076923077
Lower-middle-income economies,01324,14237.647619047619,331.45
Lower-middle-income economies,01329,9186.308695652175,843.025
Lower-middle-income economies,01330,10201.252631578947,866.3666666666667
Lower-middle-income economies,01341,10853.01,825.3299999999999
Lower-middle-income economies,01342.01,9627.926315789475,636.5428571428572
Lower-middle-income economies,01342.02,10071.77,582.3666666666667
Lower-middle-income economies,01343,6631.483333333334,1015.9285714285714
Lower-middle-income economies,01344.01,6802.200000000001,698.55
Lower-middle-income economies,01344.02,5793.208333333333,1077.2
Lower-middle-income economies,01345,10933.400000000001,590.7571428571429
Lower-middle-income economies,01346,8810.555,411.16
Lower-middle-income economies,01351.01,10383.699999999999,1318.7
Lower-middle-income economies,01351.02,10420.7,1937.2
Lower-middle-income economies,01352,17758.6,330.6
Lower-middle-income economies,01353.01,6977.8,2558.9
Lower-middle-income economies,01354,16086.76,1240.775
Lower-middle-income economies,01355.01,4774.5,5021.4
Lower-middle-income economies,01355.90,6030.5230769230775,1026.5
Lower-middle-income economies,01359.01,13500.5,283.85
Lower-middle-income economies,01359.90,7462.369387755101,674.8
Lower-middle-income economies,01371,2636.846153846154,3335.325
Lower-middle-income economies,01372,972.79375,1302.1333333333334
Lower-middle-income economies,01374,837.6555555555556,2809.9
Lower-middle-income economies,01375,1226.55,9534.366666666667
Lower-middle-income economies,01376,5885.645454545454,2953.8999999999996
Lower-middle-income economies,01379.01,4026.4,1195.9
Lower-middle-income economies,01379.02,474.66,384.8
Lower-middle-income economies,0141,1610.769696969697,705.25
Lower-middle-income economies,0142,2190.648780487805,869.5666666666667
Lower-middle-income economies,01441,1080.3909090909092,609.2
Lower-middle-income economies,01442,800.6714285714286,1469.8333333333333
Lower-middle-income economies,01443,1527.4846153846154,493.8
Lower-middle-income economies,01444,884.7733333333333,1730.5571428571432
Lower-middle-income economies,01445,1451.6684210526316,615.92
Lower-middle-income economies,01449.90,1157.2549999999999,427.35
Lower-middle-income economies,01450,2569.366666666667,979.35
Lower-middle-income economies,01460,6881.469696969697,457.0
Lower-middle-income economies,01491.01,11685.235294117647,178.95
Lower-middle-income economies,01510,17533.662222222225,600.9217391304348
Lower-middle-income economies,01520.01,12851.161764705883,439.18461538461537
Lower-middle-income economies,01530,10437.368421052632,502.88
Lower-middle-income economies,01540,9152.73,797.88
Lower-middle-income economies,01550,11093.630000000001,654.9399999999999
Lower-middle-income economies,01591,11396.3,354.3
Lower-middle-income economies,01610,709.574193548387,2222.7625
Lower-middle-income economies,01620,5981.53125,472.475
Lower-middle-income economies,01640,398.51199999999994,1777.9666666666665
Lower-middle-income economies,01651,2556.9,4130.92
Lower-middle-income economies,01652,4084.667857142857,2099.2
Lower-middle-income economies,01653,558.86,8852.25
Lower-middle-income economies,01654,2750.269230769231,3317.7666666666664
Lower-middle-income economies,01655,513.74,5714.85
Lower-middle-income economies,01656,712.74,2133.4
Lower-middle-income economies,01657,10271.006666666666,614.12
Lower-middle-income economies,01699,3866.1375000000003,11630.1
Lower-middle-income economies,01701,1281.785,1097.8454545454545
Lower-middle-income economies,01702,2039.8333333333333,1054.05
Lower-middle-income economies,01703,1307.1588235294118,1245.3666666666666
Lower-middle-income economies,01704,1022.0764705882352,1207.05
Lower-middle-income economies,01705,1511.065,632.95
Lower-middle-income economies,01706,1268.22,805.8666666666667
Lower-middle-income economies,01707,937.22,663.1
Lower-middle-income economies,01709.01,2135.828571428571,1183.0
Lower-middle-income economies,01709.90,1363.7666666666667,1115.6000000000001
Lower-middle-income economies,01801,43273.72222222222,107.1
Lower-middle-income economies,01802,59461.12972972973,31.8375
Lower-middle-income economies,01921.01,1632.751515151515,625.3666666666667
Lower-middle-income economies,01922.01,2585.8692307692304,746.6
Lower-middle-income economies,01922.02,1147.975,1210.0
Lower-middle-income economies,01929.05,795.6333333333333,1722.0
Lower-middle-income economies,01929.06,769.9666666666667,990.0
Lower-middle-income economies,01929.07,802.5666666666666,1207.8
Lower-middle-income economies,01930.02,431.2,2121.1
Lower-middle-income economies,01950.01,1199.95,865.6
Lower-middle-income economies,01970,1813.2125,2697.9
Lower-middle-income economies,02211,13854.823529411764,614.7421052631579
Lower-middle-income economies,02212,12461.0,728.375
Lower-middle-income economies,02291,412.05263157894734,1032.0
Lower-middle-income economies,02292,893.2413793103449,1118.85
Lower-middle-income economies,02293,4777.3,3014.5
Lower-middle-income economies,0231,36955.35849056604,2014.8333333333333
Lower-middle-income economies,0232,23815.708333333332,4944.7
Lower-middle-income economies,21111.01,1696.862745098039,6876.3
Lower-middle-income economies,21112,1783.2666666666667,3647.633333333333
Lower-middle-income economies,21113.01,536.6808510638298,3440.66
Lower-middle-income economies,21115,170.53333333333333,9021.3
Lower-middle-income economies,21116,144.52083333333334,5093.3
Lower-middle-income economies,21117.01,1963.5833333333333,2899.9
Lower-middle-income economies,21118.01,1465.5263157894738,4903.4
Lower-middle-income economies,21121,12334.358490566037,3812.8333333333335
Lower-middle-income economies,21122,13102.736842105263,2141.6
Upper-middle-income economies,0111,3168.313333333333,371.9291666666666
Upper-middle-income economies,0112,4449.6577777777775,686.5696969696969
Upper-middle-income economies,0113,4870.607142857143,467.0578947368421
Upper-middle-income economies,0114,3006.703571428571,256.0888888888889
Upper-middle-income economies,0115,2789.203571428571,315.71
Upper-middle-income economies,0116,2088.718181818182,282.26
Upper-middle-income economies,0117,2178.9,376.58125
Upper-middle-income economies,0118,2880.1588235294116,255.63333333333333
Upper-middle-income economies,01191,3309.3777777777777,253.35714285714286
Upper-middle-income economies,01192,840.9555555555555,813.657142857143
Upper-middle-income economies,01194,1347.7,1505.55
Upper-middle-income economies,01195,1480.15,531.0999999999999
Upper-middle-income economies,01199.90,1725.4866666666667,61970.35
Upper-middle-income economies,01211,6458.6,3378.2599999999998
Upper-middle-income economies,01212,28480.773170731707,510.38620689655176
Upper-middle-income economies,01213,15707.845833333333,1026.95
Upper-middle-income economies,01214,15651.560869565219,1080.4833333333333
Upper-middle-income economies,01215,16672.685714285715,657.1727272727272
Upper-middle-income economies,01216,13040.042857142858,1184.55
Upper-middle-income economies,01221,35185.04418604651,436.2214285714286
Upper-middle-income economies,01229,18841.12,775.0052631578948
Upper-middle-income economies,01231,16571.48947368421,1173.0285714285715
Upper-middle-income economies,01232,27296.69210526316,695.7566666666667
Upper-middle-income economies,01233,28188.881481481483,651.8095238095239
Upper-middle-income economies,01234,35910.34255319148,831.2735294117647
Upper-middle-income economies,01235,20524.3,694.9045454545454
Upper-middle-income economies,01239.01,18112.25,1534.4444444444443
Upper-middle-income economies,01241.01,9331.877777777778,1271.2
Upper-middle-income economies,01241.90,6524.629166666667,902.9230769230769
Upper-middle-income economies,01242,5498.670833333334,760.8285714285714
Upper-middle-income economies,01243,8164.54,521.1857142857143
Upper-middle-income economies,01251,23785.883783783782,590.5166666666667
Upper-middle-income economies,01252,9850.71935483871,1729.7947368421053
Upper-middle-income economies,01253.01,17758.72666666667,709.5749999999999
Upper-middle-income economies,01253.02,22738.32368421053,450.35833333333335
Upper-middle-income economies,01254,17816.563636363637,548.8399999999999
Upper-middle-income economies,01290.01,11107.75,523.3333333333334
Upper-middle-income economies,01290.90,13249.44375,1089.6571428571428
Upper-middle-income economies,01311,8579.74347826087,1368.7307692307693
Upper-middle-income economies,01312,24929.684375,568.3533333333332
Upper-middle-income economies,01313,16499.005555555555,628.4
Upper-middle-income economies,01314,9928.4,1099.55
Upper-middle-income economies,01315,7724.789473684211,1152.9750000000001
Upper-middle-income economies,01316,11744.52962962963,693.2153846153846
Upper-middle-income economies,01317,43158.33181818182,697.48
Upper-middle-income economies,01318,27084.512000000002,915.96875
Upper-middle-income economies,01319,8572.0,863.2
Upper-middle-income economies,01321,17130.608333333334,530.0384615384615
Upper-middle-income economies,01322,16762.334375,1125.4666666666667
Upper-middle-income economies,01323,18299.92972972973,633.7952380952381
Upper-middle-income economies,01324,16119.273913043478,605.4733333333334
Upper-middle-income economies,01329,11992.28888888889,713.55
Upper-middle-income economies,01330,11475.183870967743,685.3095238095239
Upper-middle-income economies,01341,16098.41,512.6949999999999
Upper-middle-income economies,01342.01,11521.77037037037,655.2473684210527
Upper-middle-income economies,01342.02,11051.015789473684,553.5363636363636
Upper-middle-income economies,01343,7327.122727272727,790.5214285714285
Upper-middle-income economies,01344.01,5918.246153846154,735.1125
Upper-middle-income economies,01344.02,7825.426086956521,1864.7333333333333
Upper-middle-income economies,01345,11318.281481481481,726.6055555555555
Upper-middle-income economies,01346,7740.514814814815,556.142105263158
Upper-middle-income economies,01349.10,5250.0,740.2
Upper-middle-income economies,01349.20,17959.899999999998,921.9
Upper-middle-income economies,01351.01,4063.56,1406.5500000000002
Upper-middle-income economies,01351.02,2420.3500000000004,6819.9
Upper-middle-income economies,01352,16498.379999999997,613.4
Upper-middle-income economies,01353.01,6992.539999999999,2257.7833333333333
Upper-middle-income economies,01354,18880.766666666666,1978.229411764706
Upper-middle-income economies,01355.01,9151.925,3428.9
Upper-middle-income economies,01355.90,9544.786666666665,1893.7599999999998
Upper-middle-income economies,01356,9497.15,1096.6
Upper-middle-income economies,01359.01,13198.15,607.0
Upper-middle-income economies,01359.90,7425.925,462.4
Upper-middle-income economies,01371,1912.9333333333334,1890.4
Upper-middle-income economies,01372,2666.0125000000003,526.2
Upper-middle-income economies,01373,3228.2125,1735.8799999999999
Upper-middle-income economies,01374,1254.6666666666667,1784.2
Upper-middle-income economies,01375,1915.8714285714286,4042.6333333333337
Upper-middle-income economies,01376,2899.257894736842,2291.2083333333335
Upper-middle-income economies,01379.90,3015.5,3934.2
Upper-middle-income economies,0141,1986.8555555555556,619.4705882352941
Upper-middle-income economies,0142,2372.6322580645165,1996.1571428571428
Upper-middle-income economies,01441,870.5153846153846,861.76
Upper-middle-income economies,01443,2034.2133333333334,574.6545454545454
Upper-middle-income economies,01444,863.157142857143,1340.525
Upper-middle-income economies,01445,1700.0608695652174,736.6333333333333
Upper-middle-income economies,01446,1108.3,412.06666666666666
Upper-middle-income economies,01447,1452.875,366.0
Upper-middle-income economies,01448,714.8333333333334,2589.3
Upper-middle-income economies,01449.90,1392.49,748.5
Upper-middle-income economies,01450,3193.8230769230768,768.55
Upper-middle-income economies,01460,7374.151851851852,679.4416666666667
Upper-middle-income economies,01491.01,13846.073333333332,176.82857142857142
Upper-middle-income economies,01499.02,3757.45,247.75
Upper-middle-income economies,01510,20465.08421052632,491.0366666666667
Upper-middle-income economies,01520.01,12997.610714285713,535.1
Upper-middle-income economies,01530,13995.671428571428,884.9
Upper-middle-income economies,01540,15444.949999999999,2411.3545454545456
Upper-middle-income economies,01550,15517.545454545454,1848.05
Upper-middle-income economies,01591,17745.087499999998,906.26
Upper-middle-income economies,01599.10,12045.929166666667,1379.75
Upper-middle-income economies,01610,860.1130434782608,3333.5375
Upper-middle-income economies,01620,4766.66875,11686.885714285714
Upper-middle-income economies,01630,6336.599999999999,273.1
Upper-middle-income economies,01640,653.8545454545455,2621.309090909091
Upper-middle-income economies,01651,2868.4933333333333,2927.0833333333335
Upper-middle-income economies,01653,1465.1499999999999,3251.2000000000003
Upper-middle-income economies,01654,2647.6833333333334,2607.633333333333
Upper-middle-income economies,01655,1085.1333333333332,10160.4
Upper-middle-income economies,01657,10185.613333333335,1891.8333333333333
Upper-middle-income economies,01658,434.025,5635.0
Upper-middle-income economies,01659,1492.2333333333333,8171.4
Upper-middle-income economies,01699,10176.9,8149.45
Upper-middle-income economies,01701,1609.1257142857144,1679.8095238095239
Upper-middle-income economies,01702,2568.8,937.1625
Upper-middle-income economies,01703,2318.5941176470587,1051.475
Upper-middle-income economies,01704,1287.4142857142856,1125.75
Upper-middle-income economies,01705,1629.1185185185184,833.1750000000001
Upper-middle-income economies,01706,2028.6777777777777,1820.0
Upper-middle-income economies,01707,3452.78,3031.5
Upper-middle-income economies,01709.01,3021.1727272727276,258.95
Upper-middle-income economies,01709.02,1326.3999999999999,1418.4
Upper-middle-income economies,01709.90,3474.5375,601.86
Upper-middle-income economies,01801,31350.105555555558,49.31428571428571
Upper-middle-income economies,01802,59444.84166666667,112.05384615384614
Upper-middle-income economies,01921.01,2568.91,976.475
Upper-middle-income economies,01922.01,2351.225,719.3
Upper-middle-income economies,01929.05,1183.3999999999999,679.0999999999999
Upper-middle-income economies,01929.90,2195.733333333333,587.8
Upper-middle-income economies,01930.01,16309.5,4333.0
Upper-middle-income economies,01950.01,1408.95,1000.6
Upper-middle-income economies,01970,2133.211111111111,2575.213333333333
Upper-middle-income economies,02211,26152.17021276596,483.225
Upper-middle-income economies,02212,8161.6,729.6333333333333
Upper-middle-income economies,02291,657.5882352941177,748.675
Upper-middle-income economies,02292,1542.2592592592594,709.9875
Upper-middle-income economies,02293,1468.1666666666667,1529.6
Upper-middle-income economies,0231,53700.5625,2234.9142857142856
Upper-middle-income economies,21111.01,2009.7291666666667,5239.724999999999
Upper-middle-income economies,21112,2563.6666666666665,6519.400000000001
Upper-middle-income economies,21113.01,720.1333333333333,3688.366666666667
Upper-middle-income economies,21114,15688.588235294117,7357.5
Upper-middle-income economies,21115,187.31914893617022,6458.780000000001
Upper-middle-income economies,21116,148.64285714285714,6367.742857142856
Upper-middle-income economies,21121,15002.489795918367,2857.7153846153847
Upper-middle-income economies,21124,58158.625,2881.75
