Crop;FAO Item;Item Code FAO;Item Code (CPC)
abaca;Manila fibre (abaca);0809;01929.07
agave;Agave fibres nes;0800;01929.06
alfalfa;;0641;01912
almond;Almonds, with shell;0221;01371
aniseetc;Anise, badian, fennel, coriander;0711;01654
apple;Apples;0515;01341
apricot;Apricots;0526;01343
areca;Areca nuts;0226;01379.01
artichoke;Artichokes;0366;01216
asparagus;Asparagus;0367;01211
avocado;Avocados;0572;01311
bambara;Bambara beans;0203;01708
banana;Bananas;0486;01312
barley;Barley;0044;0115
bean;Beans, dry;0176;01701
beetfor;;0157;01801
berrynes;Berries nes;0558;01355.90
blueberry;Blueberries;0552;01355.01
brazil;Brazil nuts, with shell;0216;01377
broadbean;Broad beans, horse beans, dry;0181;01702
buckwheat;Buckwheat;0089;01192
cabbage;Cabbages and other brassicas;0358;01212
cabbagefor;;0358;01212
canaryseed;Canary seed;0101;01195
carob;Carobs;0461;01356
carrot;Carrots and turnips;0426;01251
carrotfor;;0426;01251
cashew;Cashew nuts, with shell;0217;01372
cashewapple;Cashewapple;0591;01359.02
cassava;Cassava;0125;01520.01
castor;Castor oil seed;0265;01447
cauliflower;Cauliflowers and broccoli;0393;01213
cerealnes;Cereals nes;0108;01199.01
cherry;Cherries;0531;01344.02
chestnut;Chestnut;0220;01373
chickpea;Chick peas;0191;01703
chicory;Chicory roots;0459;01691
chilleetc;Chillies and peppers, green;0401;01231
cinnamon;Cinnamon (cannella);0693;01655
citrusnes;Fruit, citrus nes;0512;01329
clove;Cloves;0698;01656
clover;;0640;01919.03
cocoa;Cocoa, beans;0661;01640
coconut;Coconuts;0249;01460
coffee;Coffee, green;0656;01610
cotton;Seed cotton;0328;01921.01
cowpea;Cow peas, dry;0195;01706
cranberry;Cranberries;0554;01355.02
cucumberetc;Cucumbers and gherkins;0397;01232
currant;Currants;0550;01351.01
date;Dates;0577;01314
eggplant;Eggplants (aubergines);0399;01233
fibrenes;Fibre crops nes;0821;01929.90
fig;Figs;0569;01315
flax;Flax fibre and tow;0771;01929.01
fonio;Fonio;0094;01193
fornes;;0651;01919.96
fruitnes;Fruit, fresh nes;0619;01319
garlic;Garlic;0406;01252
ginger;Ginger;0720;01657
gooseberry;Gooseberries;0549;01351.02
grape;Grapes;0560;01330
grapefruitetc;Grapefruit (inc. pomelos);0507;01321
grassnes;;0639;01919.91
greenbean;Beans, green;0414;01241.90
greenbroadbean;;0420;01243
greencorn;Maize, green;0446;01290.01
greenonion;Onions, shallots, green;0402;01253.01
greenpea;Peas, green;0417;01242
groundnut;Groundnuts, with shell;0242;0142
hazelnut;Hazelnuts, with shell;0225;01374
hemp;Hemp tow waste;0777;01929.02
hempseed;Hempseed;0336;01449.02
hop;Hops;0677;01659
jute;Jute;0780;01922.01
jutelikefiber;;0782;01922.02
kapokfiber;Kapok fruit;0778;01929.03
kapokseed;Kapok fruit;0311;01499.06
karite;Karite nuts (sheanuts);0263;01499.01
kiwi;Kiwi fruit;0592;01352
kolanut;Kola nuts;0224;01379.02
legumenes;;0643;01290.90
lemonlime;Lemons and limes;0497;01322
lentil;Lentils;0201;01704
lettuce;Lettuce and chicory;0372;01214
linseed;Linseed;0333;01441
lupin;Lupins;0210;01709.02
maize;Maize;0056;0112
maizefor;;0056;0112
mango;Mangoes, mangosteens, guavas;0571;01316
mate;Mat?;0671;01630
melonetc;Melons, other (inc.cantaloupes);0568;01229
melonseed;Melonseed;0299;01449.01
millet;Millet;0079;0118
mixedgrain;Grain, mixed;0103;01199.02
mixedgrass;;0645;01919.93
mushroom;Mushrooms and truffles;0449;01270
mustard;Mustard seed;0292;01442
nutmeg;Nutmeg, mace and cardamoms;0702;01653
nutnes;Nuts nes;0234;01379.90
oats;Oats;0075;0117
oilpalm;Oil palm fruit;0254;01491.01
oilseedfor;;0339;01449.90
oilseednes;Oilseeds nes;0339;01449.90
okra;Okra;0430;01239.01
olive;Olives;0260;01450
onion;Onions, dry;0403;01253.02
orange;Oranges;0490;01323
papaya;Papayas;0600;01317
pea;Peas, dry;0187;01705
peachetc;Peaches and nectarines;0534;01345
pear;Pears;0521;01342.01
pepper;Pepper (piper spp.);0687;01651
peppermint;Peppermint;0748;01930.01
persimmon;Persimmons;0587;01359.01
pigeonpea;Pigeon peas;0197;01707
pimento;;0689;01652
pineapple;Pineapples;0574;01318
pistachio;Pistachios;0223;01375
plantain;Plantains and others;0489;01313
plum;Plums and sloes;0536;01346
popcorn;;0056;0112
poppy;Poppy seed;0296;01448
potato;Potatoes;0116;01510
pulsenes;Pulses nes;0211;01709.90
pumpkinetc;Pumpkins, squash and gourds;0394;01235
pyrethrum;Pyrethrum, dried;0754;01930.02
quince;Quinces;0523;01342.02
quinoa;Quinoa;0092;01194
ramie;Ramie;0788;01929.04
rapeseed;Rapeseed;0270;01443
rasberry;Raspberries;"0547
";01353.01
rice;Rice, paddy;0027;0113
rootnes;Roots and tubers nes;0149;01599.10
rubber;Rubber, natural;0836;01950.01
rye;Rye;0071;0116
ryefor;;0071;0116
safflower;Safflower seed;0280;01446
sesame;Sesame seed;0289;01444
sisal;Sisal;0789;01929.05
sorghum;Sorghum;0083;0114
sorghumfor;;0083;0114
sourcherry;Cherries, sour;0530;01344.01
soybean;Soybeans;0236;0141
spicenes;Spices nes;0723;01699
spinach;Spinach;0373;01215
stonefruitnes;Fruit, stone nes;0541;01349.20
strawberry;Strawberries;0544;01354
stringbean;String beans;0423;01241.01
sugarbeet;Sugar beet;0157;01801
sugarcane;Sugar cane;0156;01802
sugarnes;Sugar crops nes;0161;01809
sunflower;Sunflower seed;0267;01445
swedefor;;0649;01919.08
sweetpotato;Sweet potatoes;0122;01530
tangetc;Tangerines, mandarins, clementines, satsumas;0495;01324
taro;Taro (cocoyam);0136;01550
tea;Tea;0667;01620
tobacco;Tobacco, unmanufactured;0826;01970
tomato;Tomatoes;0388;01234
triticale;Triticale;0097;01191
tropicalnes;Fruit, tropical fresh nes;0603;01319
tung;Tung nuts;0275;01499.02
turnipfor;;0426;01251
vanilla;Vanilla;0692;01658
vegetablenes;;0655;01290.90
vegfor;Vegetables, fresh nes;0655;01290.90
vetch;Vetches;0205;01709.01
walnut;Walnuts, with shell;0222;01376
watermelon;Watermelons;0567;01221
wheat;Wheat;0015;0111
yam;Yams;0137;01540
yautia;Yautia (cocoyam);0135;01591
